,Date,Team,Returned,Injured,Injury,Length
12392,2005-09-13,Bobcats,,Sean May,arthroscopic surgery on right knee to remove damaged cartilage,(Length Undetermined)
12393,2005-09-14,Celtics,,Tony Allen,arthroscopic surgery on right knee to repair torn cartilage,(ligament per Sportsline.com)
12394,2005-09-25,Wizards,,Andray Blatche,shot in chest,(Length Undetermined)
12395,2005-09-28,Bobcats,,Alan Anderson,arthroscopic surgery on right knee to remove damaged cartilage,(Length Undetermined)
12396,2005-09-29,Rockets,,Bob Sura,arthroscopic surgery on right knee to remove loose particles,(Length Undetermined)
12397,2005-10-03,Grizzlies,,Brian Cardinal,suffered setback in rehab of left knee,(will not be ready for training camp)
12398,2005-10-03,Magic,,Mario Kasun,left ankle tendinitis,(Length Undetermined)
12399,2005-10-03,Magic,,Stacey Augmon,will have surgery to repair hernia in groin area,(out 6-8 weeks)
12400,2005-10-05,Pistons,,Lindsey Hunter,arthroscopic surgery on left ankle to remove loose particles,(Length Undetermined)
12401,2005-10-06,Warriors,,Chris Taft,strained right groin,(missed practice)
12402,2005-10-06,Warriors,,Troy Murphy,sprained ankle,(missed practice)
12403,2005-10-07,Suns,,Amare Stoudemire / Amar'e Stoudemire,sore left knee,(missed practice)
12404,2005-10-09,Pacers,,Jermaine O'Neal,bruised thigh,(missed practice)
12405,2005-10-10,Nets,,Jeff McInnis,strained back muscle,(out indefinitely)
12406,2005-10-10,Suns,,Amare Stoudemire / Amar'e Stoudemire,microfracture surgery on left knee,(out 4 months)
12407,2005-10-10,Warriors,,Ike Diogu,fractured bone in left hand,(out at least 3 weeks)
12408,2005-10-10,Wizards,,Caron Butler,strained groin,(missed pre-season game)
12409,2005-10-11,76ers,,Chris Webber,bruised thigh,(missed pre-season game)
12410,2005-10-11,76ers,,Samuel Dalembert,strained right quadricep,(missed pre-season game)
12411,2005-10-11,76ers,,Shavlik Randolph,stress fracture in left foot,(out 2-4 weeks)
12412,2005-10-11,Bulls,,Chris Duhon,strained groin,(missed pre-season game)
12413,2005-10-11,Bulls,,Darius Songaila,shoulder injury,(missed pre-season game)
12414,2005-10-11,Bulls,,Eric Piatkowski,sore knee,(missed pre-season game)
12415,2005-10-11,Cavaliers,,LeBron James,strained left pectoral muscle,(missed pre-season game)
12416,2005-10-11,Knicks,,Channing Frye,stress reaction in right foot,(out indefinitely)
12417,2005-10-11,Mavericks,,Doug Christie,precautionary,(missed pre-season game)
12418,2005-10-11,Mavericks,,Keith Van Horn,sprained right thumb,(left pre-season game)
12419,2005-10-11,Nuggets,,Kenyon Martin,left knee patella tendinitis,(Length Undetermined)
12420,2005-10-12,Lakers,,Luke Walton,strained left hamstring,(out 2-6 weeks)
12421,2005-10-12,Timberwolves,,Kevin Garnett,sore right knee,(missed pre-season game)
12422,2005-10-12,Timberwolves,,Marko Jaric,sprained right ankle,(missed pre-season game)
12423,2005-10-14,76ers,,Michael Bradley,arthroscopic surgery on right knee to repair torn meniscus,(out 4-6 weeks)
12424,2005-10-17,Celtics,,Marcus Banks,stress fracture in left shin,(out at least 6 weeks)
12425,2005-10-27,Magic,,Grant Hill,will undergo surgery next week to repair sports hernia,(Length Undetermined)
12426,2005-11-01,76ers,,Samuel Dalembert,strained right quadricep,(DNP)
12427,2005-11-01,Mavericks,,Pavel Podkolzine,surgery on right foot to insert two screws for stress fracture,(Length Undetermined)
12428,2005-11-01,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,"torn ACL, sprained MCL, and torn meniscus in right knee",(Length Undetermined)
12429,2005-11-02,76ers,,Samuel Dalembert,strained right quadricep,(DNP)
12430,2005-11-02,Magic,,Keyon Dooling,bruised right heel,(DNP)
12431,2005-11-04,Heat,,Shaquille O'Neal,sprained right ankle,(out 2-4 weeks)
12432,2005-11-04,Magic,,Keyon Dooling,bruised right heel,(DNP)
12433,2005-11-04,Mavericks,,Jerry Stackhouse,bone bruise in right knee,(out 2 weeks)
12434,2005-11-04,Nuggets,,Bryon Russell,microfracture surgery on right knee to repair torn medial meniscus,(out 4-5 months)
12435,2005-11-04,Warriors,,Baron Davis,strained left hamstring,(DNP)
12436,2005-11-05,Rockets,,Tracy McGrady,back spasms,(out 3 weeks)
12437,2005-11-07,Bulls,,Tim Thomas,foot injury,(DNP)
12438,2005-11-07,Heat,,James Posey,sprained right thumb,(DNP)
12439,2005-11-07,Kings,,Francisco Garcia,sprained right ankle,(Length Undetermined)
12440,2005-11-11,Nets,,Jason Collins,strained lower right leg muscle,(DNP)
12441,2005-11-12,Grizzlies,,Damon Stoudamire,sprained left ankle,(DNP)
12442,2005-11-12,Pacers,,Jonathan Bender,left knee rehab,(DNP)
12443,2005-11-14,Jazz,,Keith McLeod,back spasms,(DNP)
12444,2005-11-15,Jazz,,Keith McLeod,back spasms,(DNP)
12445,2005-11-15,Jazz,,Matt Harpring,right knee rehab,(DNP)
12446,2005-11-15,Sonics,,Ronald Murray / Flip Murray,back spasms,(DNP)
12447,2005-11-16,Lakers,,Stanislav Medvedenko,herniated disc,(out 6 weeks)
12448,2005-11-18,Heat,,Earl Barron,stress fracture in lower back,(DNP)
12449,2005-11-18,Hornets,,J.R. Smith,sprained left ankle,(DNP)
12450,2005-11-18,Jazz,,Andrei Kirilenko,sprained right ankle,(out 2-4 weeks)
12451,2005-11-18,Jazz,,Keith McLeod,back spasms,(DNP)
12452,2005-11-19,Hornets,,Craig Claxton / Speedy Claxton,sprained right ankle,(DNP)
12453,2005-11-19,Hornets,,J.R. Smith,sprained left ankle,(DNP)
12454,2005-11-19,Mavericks,,Keith Van Horn,sprained right middle finger,(DNP)
12455,2005-11-20,Heat,,Earl Barron,stress fracture in lower back,(DNP)
12456,2005-11-20,Knicks,,Quentin Richardson,back spasms,(DNP)
12457,2005-11-20,Rockets,,Tracy McGrady,back injury,(DNP)
12458,2005-11-21,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,"surgery on right knee to repair torn ACL, torn MCL, and torn lateral meniscus",(Length Undetermined)
12459,2005-11-22,Lakers,,Devean George,sore left foot,(out 1 week)
12460,2005-11-22,Mavericks,,Keith Van Horn,sprained right middle finger,(DNP)
12461,2005-11-22,Rockets,,Bob Sura,surgery on back to repair ruptured disc,(likely out for season)
12462,2005-11-22,Rockets,,Dion Glover,surgery on right knee to repair bone defect,(Length Undetermined)
12463,2005-11-22,Rockets,,Tracy McGrady,strained back,(DNP)
12464,2005-11-22,Suns,,Leandro Barbosa,sprained MCL in left knee,(out 2-3 weeks)
12465,2005-11-22,Warriors,,Mickael Pietrus,sprained ligament in right knee,(out up to 4 weeks)
12466,2005-11-23,Celtics,,Delonte West,hip pointer,(DNP)
12467,2005-11-23,Knicks,,Eddy Curry,strained left calf,(DNP)
12468,2005-11-23,Rockets,,Tracy McGrady,strained back,(DNP)
12469,2005-11-23,Suns,,Leandro Barbosa,left knee injury,(DNP)
12470,2005-11-24,Bucks,,Andrew Bogut,surgery on broken nose,(Length Undetermined)
12471,2005-11-24,Clippers,,Zeljko Rebraca,irregular heartbeat,(out indefinitely)
12472,2005-11-24,Lakers,,Devean George,sore left foot,(DNP)
12473,2005-11-25,Bobcats,,Jake Voskuhl,swelling in right knee,(DNP)
12474,2005-11-25,Rockets,,Tracy McGrady,strained back,(DNP)
12475,2005-11-26,Knicks,,Eddy Curry,strained left calf,(DNP)
12476,2005-11-26,Rockets,,Jon Barry,bruised right foot,(DNP)
12477,2005-11-26,Rockets,,Tracy McGrady,strained back,(DNP)
12478,2005-11-28,Knicks,,Eddy Curry,strained left calf,(DNP)
12479,2005-11-29,Bucks,,Michael Redd,right quadricep injury,(DNP)
12480,2005-11-29,Hawks,,Tyronn Lue,root canal,(DNP)
12481,2005-11-29,Rockets,,Rafer Alston,bruised right leg,(DNP)
12482,2005-11-29,Sonics,,Rick Brunson,torn fascia in left foot,(out at least 2 months)
12483,2005-11-30,Knicks,,Eddy Curry,strained left calf,(DNP)
12484,2005-11-30,Nuggets,,Greg Buckner,swollen left knee,(DNP)
12485,2005-12-02,Bucks,,Bobby Simmons,sprained right ankle,(DNP)
12486,2005-12-02,Suns,,Brian Grant,arthroscopic surgery on right knee,(out 3 months)
12487,2005-12-02,Suns,,Brian Grant,right knee injury,(DNP)
12488,2005-12-03,Bucks,,Bobby Simmons,sprained right ankle,(DNP)
12489,2005-12-03,Magic,,Hidayet Turkoglu / Hedo Turkoglu,flu-like symptoms,(DNP)
12490,2005-12-03,Raptors,,Mike James,sore lower back,(DNP)
12491,2005-12-03,Rockets,,Jon Barry,left foot injury,(DNP)
12492,2005-12-05,Cavaliers,,Aleksandar Pavlovic / Sasha Pavlovic,sprained left ankle,(out 2 weeks)
12493,2005-12-05,Jazz,,Greg Ostertag,back spasms,(DNP)
12494,2005-12-06,Bucks,,Joe Smith,arthroscopic surgery on left knee to remove loose cartilage,(out 6-8 weeks)
12495,2005-12-06,Mavericks,,Jason Terry,strained right hamstring,(DNP)
12496,2005-12-06,Suns,,Brian Grant,right knee injury,(DNP)
12497,2005-12-07,Clippers,,Boniface N'Dong,sore left knee,(DNP)
12498,2005-12-07,Raptors,,Alvin Williams,arthroscopic surgery on right knee to remove bone spurs and clean up scar tissue,(Length Undetermined)
12499,2005-12-07,Warriors,,Troy Murphy,illness,(DNP)
12500,2005-12-08,Rockets,,Jon Barry,strained right calf,(DNP)
12501,2005-12-09,Mavericks,,Jason Terry,strained right hamstring,(DNP)
12502,2005-12-13,Bobcats,,Gerald Wallace,sprained right index finger,(DNP)
12503,2005-12-13,Cavaliers,,Zydrunas Ilgauskas,sprained knee,(DNP)
12504,2005-12-13,Wizards,,Gilbert Arenas,bruised back,(DNP)
12505,2005-12-14,Bucks,,Maurice Williams / Mo Williams,bruised thigh,(DNP)
12506,2005-12-14,Hawks,,Zaur Pachulia / Zaza Pachulia,back spasms,(DNP)
12507,2005-12-14,Jazz,,Gordan Giricek,Achilles tendinitis,(DNP)
12508,2005-12-14,Pacers,,Austin Croshere,bruised lower back,(DNP)
12509,2005-12-14,Suns,,James Jones,sprained right ankle,(DNP)
12510,2005-12-14,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12511,2005-12-14,Suns,,Sharrod Ford,sprained ankle,(DNP)
12512,2005-12-14,Bucks,,Bobby Simmons,shoulder injury,(DNP)
12513,2005-12-15,Nuggets,,Marcus Camby,sprained right pinkie finger,(DNP)
12514,2005-12-15,Rockets,,Derek Anderson,right knee injury,(DNP)
12515,2005-12-16,Blazers,,Darius Miles,arthroscopic surgery on right knee to repair cartilage damage,(Length Undetermined)
12516,2005-12-16,Bucks,,Bobby Simmons,bruised right shoulder,(DNP)
12517,2005-12-16,Hornets,,Chris Andersen,viral infection,(DNP)
12518,2005-12-16,Suns,,James Jones,sprained right ankle,(DNP)
12519,2005-12-16,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12520,2005-12-17,Bucks,,Bobby Simmons,bruised right shoulder,(DNP)
12521,2005-12-17,Rockets,,Derek Anderson,strained right calf,(DNP)
12522,2005-12-17,Suns,,James Jones,sprained right ankle,(DNP)
12523,2005-12-17,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12524,2005-12-17,Suns,,Pat Burke,strained right shoulder,(DNP)
12525,2005-12-17,Suns,,Sharrod Ford,sprained right ankle,(DNP)
12526,2005-12-18,76ers,,Steven Hunter,bruised left shin,(DNP)
12527,2005-12-18,Nuggets,,Greg Buckner,strained groin,(DNP)
12528,2005-12-18,Nuggets,,Kenyon Martin,left knee tendinitis,(DNP)
12529,2005-12-18,Nuggets,,Marcus Camby,sprained right pinkie finger,(DNP)
12530,2005-12-18,Rockets,,Derek Anderson,strained right calf,(DNP)
12531,2005-12-18,Rockets,,Yao Ming,sore right big toe,(DNP)
12532,2005-12-19,Raptors,,Charlie Villanueva,bruised left calf,(DNP)
12533,2005-12-19,Rockets,,Yao Ming,surgery on left big toe to clean infection,(Length Undetermined)
12534,2005-12-19,Wizards,,Jarvis Hayes,fractured right kneecap,(out indefinitely)
12535,2005-12-20,Bobcats,,Emeka Okafor,sprained right ankle,(out 10 days)
12536,2005-12-20,Bobcats,,Emeka Okafor,sprained right ankle,(DNP)
12537,2005-12-20,Bulls,,Luol Deng,bruised right knee,(DNP)
12538,2005-12-20,Bulls,,Malik Allen,flu-like symptoms,(Length Undetermined)
12539,2005-12-20,Lakers,,Laron Profit,ruptured left Achilles tendon,(Length Undetermined)
12540,2005-12-20,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12541,2005-12-21,Kings,,Bonzi Wells,groin injury,(out 4 weeks)
12542,2005-12-21,Kings,,Predrag Stojakovic / Peja Stojakovic,back injury,(out 2 weeks)
12543,2005-12-21,Nuggets,,Greg Buckner,strained groin,(DNP)
12544,2005-12-21,Rockets,,Derek Anderson,strained right calf,(DNP)
12545,2005-12-21,Rockets,,Dikembe Mutombo,dislocated right middle finger,(DNP)
12546,2005-12-21,Rockets,,Jon Barry,strained right calf,(DNP)
12547,2005-12-22,Kings,,Predrag Stojakovic / Peja Stojakovic,back injury,(DNP)
12548,2005-12-23,Bobcats,,Sean May,right knee injury,(DNP)
12549,2005-12-23,Rockets,,Derek Anderson,strained right calf,(DNP)
12550,2005-12-23,Rockets,,Dikembe Mutombo,dislocated right middle finger,(DNP)
12551,2005-12-23,Rockets,,Jon Barry,strained right calf,(DNP)
12552,2005-12-23,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12553,2005-12-23,Wizards,,Etan Thomas,strained left hip,(DNP)
12554,2005-12-26,Mavericks,,Keith Van Horn,stomach flu,(DNP)
12555,2005-12-26,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12556,2005-12-27,Bobcats,,Sean May,right knee injury,(DNP)
12557,2005-12-27,Kings,,Predrag Stojakovic / Peja Stojakovic,sore back,(DNP)
12558,2005-12-27,Kings,,Shareef Abdur-Rahim,broken jaw,(out indefinitely)
12559,2005-12-27,Kings,,Shareef Abdur-Rahim,broken jaw,(DNP)
12560,2005-12-27,Rockets,,Jon Barry,strained right calf,(DNP)
12561,2005-12-28,Bobcats,,Sean May,right knee injury,(DNP)
12562,2005-12-28,Rockets,,Jon Barry,strained right calf,(DNP)
12563,2005-12-28,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12564,2005-12-29,Bucks,,T.J. Ford,sprained left midfoot,(out 2-3 weeks)
12565,2005-12-29,Nuggets,,Marcus Camby,surgery on broken right pinkie finger,(Length Undetermined)
12566,2005-12-30,Bucks,,T.J. Ford,sprained left midfoot,(DNP)
12567,2005-12-30,Grizzlies,,Damon Stoudamire,ruptured right patellar tendon,(out for season)
12568,2005-12-30,Kings,,Predrag Stojakovic / Peja Stojakovic,strained right groin,(DNP)
12569,2005-12-30,Kings,,Shareef Abdur-Rahim,broken jaw,(DNP)
12570,2005-12-30,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12571,2005-12-30,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12572,2005-12-31,Rockets,,Jon Barry,strained right calf,(DNP)
12573,2005-12-31,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12574,2006-01-02,Bobcats,,Melvin Ely,sprained right ankle,(DNP)
12575,2006-01-02,Bucks,,T.J. Ford,sprained left midfoot,(DNP)
12576,2006-01-02,Pacers,,Jermaine O'Neal,flu,(DNP)
12577,2006-01-02,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12578,2006-01-03,Grizzlies,,Damon Stoudamire,surgery on torn right patellar tendon,(Length Undetermined)
12579,2006-01-03,Kings,,Shareef Abdur-Rahim,broken jaw,(DNP)
12580,2006-01-04,Bucks,,T.J. Ford,sprained left midfoot,(DNP)
12581,2006-01-04,Pacers,,Jermaine O'Neal,pneumonia,(DNP)
12582,2006-01-04,Sonics,,Danny Fortson,sore left knee,(DNP)
12583,2006-01-04,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12584,2006-01-05,Pacers,,Jermaine O'Neal,pneumonia,(DNP)
12585,2006-01-05,Pacers,,Scot Pollard,flu-like symptoms,(DNP)
12586,2006-01-05,Rockets,,Derek Anderson,strained right calf,(DNP)
12587,2006-01-06,Bucks,,T.J. Ford,sprained left midfoot,(DNP)
12588,2006-01-06,Cavaliers,,Larry Hughes,surgery on broken right middle finger,(Length Undetermined)
12589,2006-01-06,Heat,,Dwyane Wade,sprained MCL in left knee,(DNP)
12590,2006-01-06,Hornets,,Chris Paul,torn ligament in right thumb,(out 2 weeks)
12591,2006-01-06,Kings,,Shareef Abdur-Rahim,broken jaw,(DNP)
12592,2006-01-06,Suns,,Leandro Barbosa,bruised left shin,(DNP)
12593,2006-01-07,Bobcats,,Jake Voskuhl,swollen right knee,(DNP)
12594,2006-01-07,Bobcats,,Kareem Rush,DNP,(Length Undetermined)
12595,2006-01-07,Suns,,Leandro Barbosa,sprained left ankle,(DNP)
12596,2006-01-08,Kings,,Shareef Abdur-Rahim,broken jaw,(DNP)
12597,2006-01-08,Sonics,,Vitaly Potapenko,strained lower back,(DNP)
12598,2006-01-09,Pacers,,Austin Croshere,concussion,(DNP)
12599,2006-01-09,Sonics,,Vitaly Potapenko,lower back strain,(DNP)
12600,2006-01-10,Bobcats,,Jake Voskuhl,sprained right ankle,(DNP)
12601,2006-01-10,Bucks,,Maurice Williams / Mo Williams,plantar fasciitis in left foot,(DNP)
12602,2006-01-10,Kings,,Shareef Abdur-Rahim,broken jaw,(DNP)
12603,2006-01-10,Nuggets,,Kenyon Martin,back strain,(DNP)
12604,2006-01-10,Rockets,,Jon Barry,strained right calf,(DNP)
12605,2006-01-10,Rockets,,Stromile Swift,scratched left eye,(DNP)
12606,2006-01-10,Rockets,,Tracy McGrady,back spasms,(DNP)
12607,2006-01-10,Suns,,Dijon Thompson,ill,(DNP)
12608,2006-01-10,Suns,,Leandro Barbosa,sprained MCL in left knee,(DNP)
12609,2006-01-11,Bobcats,,Jake Voskuhl,knee injury,(DNP)
12610,2006-01-11,Bobcats,,Sean May,sore right knee,(DNP)
12611,2006-01-11,Bucks,,Maurice Williams / Mo Williams,plantar fasciitis in left foot,(DNP)
12612,2006-01-11,Kings,,Brian Skinner,stomach virus,(DNP)
12613,2006-01-11,Kings,,Shareef Abdur-Rahim,broken jaw,(DNP)
12614,2006-01-11,Rockets,,Jon Barry,strained right calf,(DNP)
12615,2006-01-11,Rockets,,Stromile Swift,scratched left eye,(DNP)
12616,2006-01-11,Rockets,,Tracy McGrady,back spasms,(DNP)
12617,2006-01-12,Lakers,,Stanislav Medvedenko,surgery to repair herniated disk in back,(out for season)
12618,2006-01-12,Suns,,Leandro Barbosa,sprained left knee,(DNP)
12619,2006-01-12,Warriors,,Calbert Cheaney,strained left thigh,(DNP)
12620,2006-01-13,Bobcats,,Brevin Knight,back spasms,(DNP)
12621,2006-01-13,Bobcats,,Jake Voskuhl,sprained right ankle,(DNP)
12622,2006-01-13,Bobcats,,Sean May,knee injury,(DNP)
12623,2006-01-13,Bucks,,Maurice Williams / Mo Williams,plantar fasciitis in left foot,(DNP)
12624,2006-01-13,Kings,,Predrag Stojakovic / Peja Stojakovic,bulging disc,(DNP)
12625,2006-01-13,Kings,,Shareef Abdur-Rahim,broken jaw,(DNP)
12626,2006-01-13,Nuggets,,Greg Buckner,sprained right wrist,(DNP)
12627,2006-01-13,Pacers,,Scot Pollard,sore lower back,(DNP)
12628,2006-01-14,Bobcats,,Jake Voskuhl,sprained right ankle,(DNP)
12629,2006-01-14,Bobcats,,Sean May,knee injury,(DNP)
12630,2006-01-14,Clippers,,Elton Brand,bruised right hip,(DNP)
12631,2006-01-14,Hawks,,Tyronn Lue,sore back,(DNP)
12632,2006-01-14,Nuggets,,Greg Buckner,sprained right wrist,(DNP)
12633,2006-01-14,Pacers,,Scot Pollard,sore lower back,(DNP)
12634,2006-01-14,Rockets,,Jon Barry,strained right calf,(DNP)
12635,2006-01-14,Rockets,,Stromile Swift,scratched left eye,(DNP)
12636,2006-01-14,Rockets,,Tracy McGrady,back spasms,(DNP)
12637,2006-01-14,Sonics,,Reggie Evans,upper respiratory problem,(DNP)
12638,2006-01-15,Cavaliers,,Drew Gooden,strained right thigh,(DNP)
12639,2006-01-15,Kings,,Predrag Stojakovic / Peja Stojakovic,bulging disc,(DNP)
12640,2006-01-15,Kings,,Shareef Abdur-Rahim,broken jaw,(DNP)
12641,2006-01-16,Bobcats,,Jake Voskuhl,sprained right ankle,(DNP)
12642,2006-01-16,Bobcats,,Sean May,knee injury,(DNP)
12643,2006-01-16,Hawks,,Tyronn Lue,strained back muscle,(DNP)
12644,2006-01-16,Pacers,,Jermaine O'Neal,sprained left ankle,(DNP)
12645,2006-01-16,Pacers,,Scot Pollard,strained back muscle,(DNP)
12646,2006-01-16,Rockets,,Jon Barry,strained right calf,(DNP)
12647,2006-01-16,Rockets,,Stromile Swift,scratched left eye,(DNP)
12648,2006-01-16,Rockets,,Tracy McGrady,strained back muscle,(DNP)
12649,2006-01-16,Warriors,,Chris Taft,back spasms,(DNP)
12650,2006-01-17,Jazz,,Jarron Collins,sprained right ankle,(DNP)
12651,2006-01-17,Kings,,Predrag Stojakovic / Peja Stojakovic,back injury,(DNP)
12652,2006-01-17,Kings,,Shareef Abdur-Rahim,broken jaw,(DNP)
12653,2006-01-18,Blazers,,Ruben Patterson,bronchitis,(DNP)
12654,2006-01-18,Bobcats,,Jake Voskuhl,sprained right ankle,(DNP)
12655,2006-01-18,Bobcats,,Sean May,knee injury,(DNP)
12656,2006-01-18,Hawks,,John Edwards,lower back pain,(DNP)
12657,2006-01-18,Hawks,,Tyronn Lue,strained back,(DNP)
12658,2006-01-18,Mavericks,,Keith Van Horn,sprained left ankle,(DNP)
12659,2006-01-18,Pacers,,Jermaine O'Neal,sprained left ankle,(DNP)
12660,2006-01-18,Pacers,,Scot Pollard,sore lower back,(DNP)
12661,2006-01-18,Rockets,,Jon Barry,strained right calf,(DNP)
12662,2006-01-18,Rockets,,Stromile Swift,scratched left eye,(DNP)
12663,2006-01-18,Rockets,,Tracy McGrady,back spasms,(DNP)
12664,2006-01-18,Spurs,,Robert Horry,lower abdominal strain,(DNP)
12665,2006-01-19,Bobcats,,Sean May,arthroscopic surgery on right knee to repair torn cartilage,(Length Undetermined)
12666,2006-01-20,Bobcats,,Gerald Wallace,sprained left knee,(Length Undetermined)
12667,2006-01-20,Bobcats,,Melvin Ely,sprained right ankle,(DNP)
12668,2006-01-20,Bucks,,T.J. Ford,strained left hamstring,(DNP)
12669,2006-01-20,Hawks,,John Edwards,sore back,(DNP)
12670,2006-01-20,Hawks,,Tyronn Lue,strained back,(DNP)
12671,2006-01-20,Mavericks,,Keith Van Horn,sprained left ankle,(DNP)
12672,2006-01-20,Pacers,,Scot Pollard,sore back,(DNP)
12673,2006-01-20,Rockets,,Jon Barry,strained right calf,(DNP)
12674,2006-01-20,Rockets,,Martyn Norris / Moochie Norris,bruised left foot,(DNP)
12675,2006-01-20,Rockets,,Stromile Swift,scratched left eye,(DNP)
12676,2006-01-21,Bobcats,,Gerald Wallace,bruised left leg,(DNP)
12677,2006-01-21,Bobcats,,Melvin Ely,sprained right ankle,(DNP)
12678,2006-01-21,Bucks,,T.J. Ford,strained left hamstring,(DNP)
12679,2006-01-21,Magic,,Jameer Nelson,sprained right foot,(DNP)
12680,2006-01-21,Nets,,Jason Collins,sore right knee,(DNP)
12681,2006-01-22,Mavericks,,Keith Van Horn,sprained left ankle,(DNP)
12682,2006-01-22,Rockets,,Jon Barry,strained right calf,(DNP)
12683,2006-01-22,Rockets,,Martyn Norris / Moochie Norris,bruised left foot,(DNP)
12684,2006-01-22,Rockets,,Stromile Swift,eye injury,(DNP)
12685,2006-01-22,Timberwolves,,Michael Olowokandi,abscessed tooth,(DNP)
12686,2006-01-22,Timberwolves,,Troy Hudson,flu,(DNP)
12687,2006-01-22,Warriors,,Chris Taft,strained back muscle,(DNP)
12688,2006-01-23,Hawks,,John Edwards,lower back pain,(DNP)
12689,2006-01-23,Rockets,,Jon Barry,strained right calf,(DNP)
12690,2006-01-23,Rockets,,Martyn Norris / Moochie Norris,bruised left foot,(DNP)
12691,2006-01-23,Rockets,,Ryan Bowen,irregular heartbeat,(DNP)
12692,2006-01-23,Rockets,,Stromile Swift,eye injury,(DNP)
12693,2006-01-23,Warriors,,Chris Taft,back spasms,(DNP)
12694,2006-01-24,Bobcats,,Gerald Wallace,medial tibia bone bruise,(DNP)
12695,2006-01-24,Bobcats,,Keith Bogans,sprained MCL in right knee,(DNP)
12696,2006-01-24,Kings,,Jamal Sampson,stomach virus,(DNP)
12697,2006-01-24,Kings,,Predrag Stojakovic / Peja Stojakovic,pending trade,(DNP)
12698,2006-01-24,Magic,,Jameer Nelson,sprained right foot,(DNP)
12699,2006-01-24,Pacers,,Scot Pollard,sore lower back,(DNP)
12700,2006-01-25,Bobcats,,Gerald Wallace,medial tibia bone bruise,(DNP)
12701,2006-01-25,Bobcats,,Keith Bogans,sprained MCL in right knee,(DNP)
12702,2006-01-25,Jazz,,Gordan Giricek,sore left Achilles tendon,(DNP)
12703,2006-01-25,Jazz,,Robert Whaley,torn cartilage in right knee,(will require surgery)
12704,2006-01-25,Kings,,Brian Skinner,sprained right ankle,(DNP)
12705,2006-01-25,Pistons,,Dale Davis,flu-like symptoms,(DNP)
12706,2006-01-25,Rockets,,Jon Barry,strained right calf,(DNP)
12707,2006-01-25,Rockets,,Ryan Bowen,irregular heartbeat,(DNP)
12708,2006-01-25,Rockets,,Stromile Swift,eye injury,(DNP)
12709,2006-01-25,Sonics,,Rick Brunson,plantar fasciitis in left foot,(DNP)
12710,2006-01-25,Warriors,,Chris Taft,back spasms,(DNP)
12711,2006-01-26,Magic,,Jameer Nelson,sprained right foot,(DNP)
12712,2006-01-26,Mavericks,,Devin Harris,sprained right shoulder,(DNP)
12713,2006-01-26,Pacers,,Jermaine O'Neal,torn left groin,(out 8 weeks)
12714,2006-01-26,Sonics,,Luke Ridnour,sprained left knee,(DNP)
12715,2006-01-26,Sonics,,Rick Brunson,plantar fasciitis in left foot,(DNP)
12716,2006-01-26,Sonics,,Vladimir Radmanovic,sprained right foot,(DNP)
12717,2006-01-27,Bobcats,,Gerald Wallace,medial tibia bone bruise,(DNP)
12718,2006-01-27,Bobcats,,Keith Bogans,sprained MCL in right knee,(DNP)
12719,2006-01-27,Magic,,Jameer Nelson,sprained right foot,(DNP)
12720,2006-01-27,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12721,2006-01-27,Rockets,,Jon Barry,strained right calf,(DNP)
12722,2006-01-27,Rockets,,Juwan Howard,flu-like symptoms,(DNP)
12723,2006-01-27,Warriors,,Jason Richardson,sore back,(personal reasons per CBC)
12724,2006-01-28,76ers,,Allen Iverson,sprained left ankle,(DNP)
12725,2006-01-28,Bobcats,,Brevin Knight,concussion,(DNP)
12726,2006-01-28,Bobcats,,Gerald Wallace,medial tibia bone bruise,(DNP)
12727,2006-01-28,Bobcats,,Keith Bogans,sprained MCL in right knee,(DNP)
12728,2006-01-28,Bucks,,Maurice Williams / Mo Williams,sprained left ankle,(out 2 weeks)
12729,2006-01-28,Jazz,,Matt Harpring,right knee inflammation,(DNP)
12730,2006-01-28,Jazz,,Robert Whaley,torn cartilage in right knee,(DNP)
12731,2006-01-28,Warriors,,Chris Taft,back spasms,(DNP)
12732,2006-01-28,Warriors,,Jason Richardson,sore back,(DNP)
12733,2006-01-28,Warriors,,Mike Dunleavy Jr.,sprained left ankle,(DNP)
12734,2006-01-29,76ers,,Allen Iverson,sprained right foot,(DNP)
12735,2006-01-29,76ers,,Matt Barnes,sprained left ankle,(DTD)
12736,2006-01-29,Kings,,Jason Hart,strained left knee,(DNP)
12737,2006-01-29,Rockets,,Jon Barry,strained right calf,(DNP)
